organization,address,region,phone,website,notes,drive_radius,population,households,median_income,latitude,longitude,status,last_updated
Asphalt Green - Battery Park City,"212 N End Ave New York, NY 10282",,(212) 298-2900,asphaltgreen.org,,1 mi,80725,39200,179146,40.7159868,-74.0149055,initial contact,1/8/2025 20:50
Onelife Fitness - Tysons,"8250 Greensboro Dr Mclean, VA 22102",,(703) 442-9150,onelifefitness.com,Onelife is a chain,7 mi,320644,124389,152862,38.94869812960199,-77.23659666,in discussion,1/8/2025 16:46
Onelife Fitness - McLean,"1800 Old Meadow Rd McLean, VA 22102",,(703) 556-6550,onelifefitness.com,Onelife is a chain,7 mi,352225,135553,148121,38.94869812960199,-77.23659666,initial contact,1/8/2025 20:50
The Riekes Center,"3455 Edison Way Menlo Park, CA 94025",,(650) 364-2509,riekes.org,"More of a community center, but privately run",7 mi,322602,118245,147588,37.45312533013393,-122.1814779,initial contact,1/8/2025 20:50
PRO Club Bellevue,"4455 148th Ave NE Bellevue, WA 98007",,(425) 885-5566,https://www.proclub.com/club/locations/bellevue,PRO Club is a fancy chain,7 mi,304254,127498,141065,47.6515,-122.1452087,initial contact,1/8/2025 21:59
Oakwood Athletic Club,"4000 Mt Diablo Blvd Lafayette, CA 94549",,(925) 283-4000,oakwoodathleticclub.com,,7 mi,137426,59167,137733,37.891724945313946,-122.1214771,in discussion,1/8/2025 21:59
Jewish Community Center of San Francisco - JCCSF,"3200 California St San Francisco, CA 94118",,(415) 292-1200,jccsf.org,,7 mi,871228,382507,123431,37.787385400000005,-122.4478439,in discussion,1/8/2025 20:50
Onelife Fitness - Pike & Rose,"11594 Old Georgetown Rd Rockville, MD 20852",,(301) 245-3908,onelifefitness.com,Onelife is a chain,7 mi,485539,193406,121657,39.0485,-77.1277,not contacted,1/3/2025 22:05
Onelife Fitness - Bethesda,"4400 Montgomery Ave Bethesda, MD 20814",,(301) 656-9570,onelifefitness.com,,7 mi,739503,320456,117104,38.9927155,-77.0877395,in discussion,1/8/2025 20:50
Achieve Sports Center,"22675 E Aurora Pkwy Aurora, CO 80016",,(720) 330-2200,achievesports.com,,7 mi,201687,71139,116270,39.57580535,-104.724855,not contacted,1/3/2025 22:05
The St. James,"6805 Industrial Rd Springfield, VA 22151",,(703) 239-6870,thestjames.com,Massive facilities with an ice rink,7 mi,484273,192332,114497,38.804268536598535,-77.21231154,not contacted,1/3/2025 22:05
Seattle Athletic Club,"2020 Western Ave Seattle, WA 98121",,(206) 443-1111,sacdt.com,,7 mi,645371,313326,114326,47.6108041,-122.3438385,not contacted,1/3/2025 22:05
Onelife Fitness - Rockville,"1407 Research Blvd Rockville, MD 20852",,(240) 599-8383,onelifefitness.com,Onelife is a chain,7 mi,377636,142775,114316,39.091217,-77.17641717,not contacted,1/3/2025 22:05
Magnuson Athletic Club,"7751 63rd Ave NE Seattle, WA 98115",,(206) 452-1500,macseattle.com,,7 mi,434012,206588,111195,47.6870288,-122.2631286,not contacted,1/3/2025 22:05
Windsor Athletic Club,"99 Clarksville Rd West Windsor, NJ 08550",,(609) 356-5000,usawac.com,,7 mi,172434,64447,109994,40.2901961,-74.6763657,not contacted,1/3/2025 22:05
Arena Sports - SODO,"4636 E Marginal Way S Ste 101 Seattle, WA 98134",,(206) 762-8606,arenasports.net,Indoor soccer for kids,7 mi,525136,252200,106773,47.57878905738296,-122.3329512,not contacted,1/3/2025 22:16
Chelsea Piers Connecticut,"1 Blachley Rd Stamford, CT 06902",,(203) 989-1000,chelseapiersct.com,,7 mi,227854,87069,106052,41.05588,-73.515536,not contacted,1/3/2025 22:05
Villa Sport - Roseville,"291 Conference Center Dr Roseville, CA 95678",,(916) 831-7070,villasport.com/roseville,,7 mi,286293,106324,104224,38.77745635767464,-121.2718845,not contacted,1/3/2025 22:05
Marcus Jewish Community Center of Atlanta,"5342 Tilly Mill Rd, Atlanta, GA 30338",Atlanta,16788124000,https://www.atlantajcc.org/,,ZIP,39042,16272,122931,33.94207433101343,-84.32082864,not contacted,1/3/2025 22:05
Hi-Five Sports Zone At North Point Mall,"1000 North Point Cir Suite 1008, Alpharetta, GA 30022",Atlanta,14704170194,https://www.hifivesportsclubs.com/locations/alpharetta/,Chain that has at least another location in Chicago,ZIP,64919,23365,153022,34.01614917,-84.25711268,not contacted,1/3/2025 22:05
Cambridge Athletic Club,"215 First St, Cambridge, MA 02142",Boston,16174918989,http://www.cambridgeathletic.com/,Have multiple locations in Cambridge,ZIP,4349,2168,168788,42.36439435,-71.07924583,not contacted,1/3/2025 22:05
Longfellow Tennis & Health Club Wayland,"524 Boston Post Rd, Wayland, MA 01778",Boston,15083587355,https://longfellowhealthclubs.com/wayland/,"Have multiple locations, Wayland has bb courts",ZIP,13915,4981,219531,42.36538915,-71.38852872,not contacted,1/3/2025 22:05
Boston Sports Institute,"900 Worcester St, Wellesley, MA 02482",Boston,17814895088,http://www.bostonsportsinstitute.com/,Advertise space rentals for rink and courts,ZIP,10758,4121,240069,42.30386775,-71.31785166,not contacted,1/3/2025 22:05
Fieldhouse Sudbury,"31 Union Ave, Sudbury, MA 01776",Boston,19784409944,https://fieldhousesudbury.com/,,ZIP,19067,6327,234634,42.362864,-71.42774768,not contacted,1/3/2025 22:05
J.W. Hayden Recreation Centre,"24 Lincoln St, Lexington, MA 02421",Boston,17818628480,http://jwhayden.org/,,ZIP,17798,6765,212843,42.4469791,-71.23878864,not contacted,1/3/2025 22:05
Bradley Fieldhouse,"2500 W Bradley Pl B, Chicago, IL 60618",Chicago,17739618889,https://www.bradleyfieldhouse.com/,,ZIP,91896,37745,101558,41.94520878408488,-87.70028175,not contacted,1/3/2025 22:05
McFetridge Sports Center,"3843 N California Ave, Chicago, IL 60618",Chicago,17734782609,https://www.mcfetridgesportscenter.com/,Ice rink and tennis courts,ZIP,91896,37745,101558,41.95112814222381,-87.69804931,not contacted,1/3/2025 22:05
Lakeshore Sport & Fitness,"1320 W Fullerton Ave, Chicago, IL 60614",Chicago,17733486377,https://www.lakeshoresf.com/lincoln-park/,,ZIP,70444,34603,139561,41.92515547222222,-87.66202397,not contacted,1/3/2025 22:05
Nicholas Sportsplex,"1501 Feehanville Dr, Mt Prospect, IL 60056",Chicago,12244434370,http://www.mp-ice.com/,17 Acres of indoor and outdoor space,ZIP,55989,22107,104168,42.075777,-87.915143,not contacted,1/3/2025 22:05
Wheatland Athletic Association,"2323 Liberty St, Aurora, IL 60502",Chicago,16309782855,http://www.waasports.org/,,ZIP,23242,8364,150421,41.7644283,-88.25851114,not contacted,1/3/2025 22:05
Hi Five Sports Zone Northbrook,"1515 Lake Cook Road unit 2030, Northbrook, IL 60062",Chicago,18472299555,http://www.hifivenorthshore.com/,,ZIP,41667,16290,142759,42.127549596301016,-87.84150439,not contacted,1/3/2025 22:05
FFC Park Ridge,"826 W Touhy Ave, Park Ridge, IL 60068",Chicago,18478029826,https://ffc.com/club-locations/park-ridge/,,ZIP,39227,15165,138201,42.01142845,-87.83511128,not contacted,1/3/2025 22:05
North Shore Sports and Wellness,"550 Lake Cook Rd, Deerfield, IL 60015",Chicago,18474986646,http://northshoresportsandwellness.com/,,ZIP,27720,10242,186786,42.15285776032977,-87.84084238,not contacted,1/3/2025 22:05
Eich's Sports Complex,"24316 W 143rd St, Plainfield, IL 60544",Chicago,18154369044,http://www.eichssportscomplex.com/,,ZIP,27937,10223,108447,41.6297,-88.2435,not contacted,1/3/2025 22:05
Community Sports Plex (CSP),"24035 W Riverwalk Ct, Plainfield, IL 60544",Chicago,18152671717,https://communitychristian.org/rental/,,ZIP,27937,10223,108447,41.61931235,-88.2026246,not contacted,1/3/2025 22:05
Glendale Sports Center,"4500 E Kentucky Ave, Denver, CO 80246",Denver,13036394711,https://www.sportscenterglendale.com/,,ZIP,13028,7457,66503,39.698887325152725,-104.9473829,not contacted,1/3/2025 22:05
The Map Sports Facility,"12552 Western Ave, Garden Grove, CA 92841",LA,17149055262,https://www.themapsports.com/,,ZIP,33514,9619,81975,33.78031905120939,-118.0015259,not contacted,1/3/2025 22:05
American Sports Centers,"1500 S Anaheim Blvd, Anaheim, CA 92805",LA,17149173600,http://americansportscenters.com/,,ZIP,74336,21718,85623,33.8096116,-117.9046834,not contacted,1/8/2025 16:16
Open Gym Premier,"1500 S Anaheim Blvd, Anaheim, CA 92805",LA,,http://www.opengympremier.com/,9 Locations,ZIP,74336,21718,85623,33.8096116,-117.9046834,not contacted,1/3/2025 22:05
Clava Sports Facility,"26923 Fuerte Dr, Lake Forest, CA 92630",LA,19494080319,https://clavasports.com/,,ZIP,66461,23242,119984,33.66768765904975,-117.6600257,not contacted,1/3/2025 22:05
Momentous Sports Center,"14522 Myford Rd, Irvine, CA 92606",LA,17143897900,http://momentoussportscenter.com/,,ZIP,24499,8925,140790,33.71419765,-117.8027961,not contacted,1/3/2025 22:05
Meridian Qube Fitness Center,"1535 Deerpark Dr, Fullerton, CA 92831",LA,17144398730,https://meridianqube.com/,Large event rental space with sports facilities,ZIP,35831,12823,89451,33.885971350000005,-117.8795009,not contacted,1/3/2025 22:05
Jump Beyond Sports,"1780 Oak St, Torrance, CA 90501",LA,(424) 558-3310,https://jump-beyond.com/,,ZIP,41319,14512,92815,33.829969125000005,-118.32687,not contacted,1/3/2025 22:05
Quartz Sports Facility,"1533 E Del Amo Blvd, Carson, CA 90746",LA,14248881038,https://quartz-sports.com/,,ZIP,27465,8599,113545,33.84682464689455,-118.245321,not contacted,1/3/2025 22:05
Sports Academy,"1011 Rancho Conejo Blvd, Thousand Oaks, CA 91320",LA,18445187246,https://sportsacademy.us/,"Locations in CA, TX, and TN",ZIP,43628,15043,150861,34.19897718803693,-118.9232337,not contacted,1/3/2025 22:05
Thousand Oaks Teen Center,"1375 E Janss Rd, Thousand Oaks, CA 91362",LA,18054945156,http://www.thousandoaksteencenter.com/,,ZIP,36205,13823,143683,34.19965218367347,-118.8533058,not contacted,1/3/2025 22:05
AFC Fitness,"601 Righters Ferry Rd, Bala Cynwyd, PA 19004",Philly,16106646464,http://www.afcfitness.com/,,ZIP,10439,4216,143781,40.006663926071205,-75.22875345,not contacted,1/3/2025 22:35
YSC Sports,"224 County Line Rd, Wayne, PA 19087",Philly,16102930888,http://www.yscsports.com/,Outdoor and indoor fields,ZIP,33770,12132,165451,40.07730515,-75.40368484,not contacted,1/3/2025 22:05
Ellis Athletic Center,"3819 West Chester Pike, Newtown Square, PA 19073",Philly,16103557360,http://www.ellisathleticcenter.com/,,ZIP,21587,8423,131061,39.9911032,-75.4083027,not contacted,1/3/2025 22:05
Steelyard Sports Indoor/Outdoor Sports Complex,"538 Swedeland Rd, King of Prussia, PA 19406",Philly,14842311138,https://www.steelyardsports.com/,Outdoor and indoor fields,ZIP,29388,13212,109944,40.09669682649494,-75.37928575,not contacted,1/3/2025 22:05
Berwyn Sports Club,"950 Cassatt Rd, Berwyn, PA 19312",Philly,16109999566,https://berwynsportsclub.com/,Outdoor and indoor fields,ZIP,11901,4391,199107,40.0611699,-75.4559592,not contacted,1/3/2025 22:05
Elite Sports Factory,"5050 Umbria St, Philadelphia, PA 19128",Philly,17544446637,http://www.elitesportsfactory.com/,,ZIP,37018,17931,89639,40.03583038910403,-75.23609767,not contacted,1/3/2025 22:05
Paloma Sports Complex,"3215 S Sossaman Rd Bld. 2, Mesa, AZ 85212",Phoenix,14803312461,https://palomasports.com/,Affiliated with a church,ZIP,50427,15798,123404,33.33659338701291,-111.6194231,not contacted,1/3/2025 22:05
Multnomah Athletic Club,"1849 SW Salmon St, Portland, OR 97205",Portland,15032236251,https://themac.com/,,ZIP,9232,6222,58943,45.520668650000005,-122.6923254,not contacted,1/3/2025 22:05
Sunset Athletic Club,"13939 NW Cornell Rd, Portland, OR 97229",Portland,15036453535,http://www.sunsetac.net/,,ZIP,75626,27532,159863,45.5303121,-122.8198937,not contacted,1/3/2025 22:05
Mountain Park Clubhouse,"2 Mt Jefferson Terrace, Lake Oswego, OR 97035",Portland,15036353561,https://mtparkhoa.com/clubhouse/,,ZIP,25875,10961,126866,45.43156515,-122.715146,not contacted,1/3/2025 22:05
Champion's Club,"285 Shady Oaks Dr Southlake, TX 76092",DFW,(817) 748-8955,experiencechampionsclub.com,,7 mi,183950,67340,138728,32.94276501704762,-97.14770917,not contacted,1/3/2025 22:05
The REC of Grapevine,"1175 Municipal Way Grapevine, TX 76051",DFW,(817) 410-3450,https://gograpevine.com/,,7 mi,175251,67768,113933,32.92978052637382,-97.07668337,not contacted,1/3/2025 22:05
Evelyn Rubenstein JCC,"5601 S Braeswood Houston, TX 77096",Houston,(713) 729-3200,erjcchouston.org,,7 mi,680358,282949,52805,29.6927082,-95.433383,not contacted,1/3/2025 22:05
The Downtown Club at The Met,"340 W Dallas St Houston, TX 77002",Houston,(713) 652-0700,clubcorp.com,,7 mi,646533,286300,66749,29.7579088,-95.37215193,not contacted,1/3/2025 22:05
Crenshaws Athletic Club,"5000 Fairview Drive, Austin, Texas 78731",Austin,(512) 453-5551,https://www.crenshaws.com/,Gymnastics and Swimming Only,7 mi,404925,186147,80191,30.3316255,-97.75947306,not contacted,1/3/2025 22:05
Austin Sports Center,"425 Woodward St,Â Austin, Texas, 78704",Austin,512-433-5111,https://www.austinsportscenter.com/asc/home/,"3 Locations in Austin, 2 are right next to each other",7 mi,432372,193072,71561,30.244502757963616,-97.76196399,not contacted,1/8/2025 20:41
Austin Sports Center - Cedar Park,"1420 Toro Grande Blvd, Cedar Park, TX 78613",Austin,512-433-5111,https://www.austinsportscenter.com/asc/home/,"3 Locations in Austin, 2 are right next to each other",7 mi,218972,80542,114164,30.51045551688109,-97.79948184,not contacted,1/8/2025 16:22
Memorial Athletic Club and Aquatic Center,"14690 Memorial Dr, Houston, TX 77079",Houston,281.558.6691,https://www.fitmac.com/,Athletic Club for Women and Aquatic Center,7 mi,371505,151321,58488,29.7701452,-95.6083232,not contacted,1/3/2025 22:05
APEC Fitness Center,"2600 Alemeda St, Fort Worth, TX 76116",DFW,817-367-7800,https://teamapec.com/,,7 mi,165138,70090,65143,32.7353015,-97.4849362,not contacted,1/3/2025 22:26
CERA,"3300 Bryant Irvin Rd., Fort Worth, TX 76109",DFW,(817) 732-7731,https://cera-fw.org/,,7 mi,336881,136451,63596,32.7021472,-97.4134224,not contacted,1/3/2025 22:05
Cooper Fitness Center,"12100 Preston Road, Dallas, TX 75230",DFW,972.233.4832,https://www.cooperaerobics.com/cooper-fitness-center,,7 mi,529665,229476,70961,32.9142021,-96.80105867,not contacted,1/3/2025 22:05
Southwest Athletic Center,"2800 N Interstate 35EÂ Carrollton, TX 75007",DFW,(817) 545-4551,https://www.dallassports.org/directory/southwest-athletic-center/,,7 mi,371034,149741,80354,33.006527473903745,-96.89786077,not contacted,1/3/2025 22:05
Kid's Choice Sport & Fun Center,"13000 Sport and Health Dr, Woodbridge, VA 22192",DMV,17039403700,http://www.kidschoicesportandfuncenter.com/,,ZIP,59034,20490,122005,38.67062945,-77.25647651,not contacted,1/3/2025 22:05
The Keller Pointe,"405 Rufe Snow Dr, Keller, TX 76248",DFW,18177434386,http://www.thekellerpointe.com/,,ZIP,40389,14432,169391,32.927220877551015,-97.23199578,not contacted,1/3/2025 22:05
Thrive,"1950 S Valley Pkwy, Lewisville, TX 75067",DFW,14696355300,https://www.lewisvillethrive.com/,,ZIP,68451,27359,76630,33.01976015,-97.02037156,not contacted,1/3/2025 22:05
NRH Centre,"6000 Hawk Ave, North Richland Hills, TX 76180",DFW,18174276600,http://www.nrhcentre.com/,,ZIP,37900,15236,78688,32.855948,-97.194594,not contacted,1/3/2025 22:05
LC Sports & Recreation Center,"2912-A, 2912 Little Rd, Arlington, TX 76016",DFW,18174575276,https://www.lcsportsandrec.com/,Affiliated with a church,ZIP,31191,11063,108701,32.68905858,-97.18520779,not contacted,1/3/2025 22:05
CUMC Sports & Rec Center,"Sports & Rec Center, 3101 Coit Rd, Plano, TX 75075",DFW,19725966073,https://cumc.com/adult-sports-fitness/,Affiliated with a church,ZIP,38041,15237,91517,33.01621040091164,-96.73505745,not contacted,1/3/2025 22:05
Plano Athletic Club,"4600 W Park Blvd, Plano, TX 75093",DFW,14698954258,https://planoathleticclub.com/?utm_source=localgbp&utm_medium=organic&utm_campaign=gmb,,ZIP,46491,19651,121226,33.026792,-96.78673,not contacted,1/3/2025 22:05
Plano Sports Authority,"6500 Preston Meadow Dr, Plano, TX 75024",DFW,19722085437,https://www.psaplanosportsauthority.com/,,ZIP,45051,18778,117445,33.0692649,-96.7785092,not contacted,1/3/2025 22:05
Grand Parkway Sports,"22309 Gosling Rd, Spring, TX 77389",Houston,936-524-0576 ,https://www.gpscomplex.com/,,ZIP,44545,14601,145228,30.0878024,-95.50848123,not contacted,1/3/2025 22:05
Katy Sports Center,"510 S Mason Rd Ste. 14, Katy, TX 77450",Houston,17132316618,https://www.katysportscenter.com/,,ZIP,73226,25316,105607,29.75746056484667,-95.73011867,not contacted,1/3/2025 22:05
Artistic Stitch Sports Complex,"79-08 Cooper Ave, Glendale, NY 11385",NYC,17184161380,http://www.artisticstitchsportscomplex.com/,,ZIP,103865,37586,87365,40.69962005,-73.88810855,not contacted,1/3/2025 22:05
Globall Sports Centers - Brooklyn,"1561 Bedford Ave, Brooklyn, NY 11225",NYC,19297772672,http://globallsportscenters.com/,,ZIP,56544,24747,85201,40.66874035,-73.95474426,not contacted,1/3/2025 22:05
Major R. Owens Health & Wellness Community Center,"1561 Bedford Ave, Brooklyn, NY 11225",NYC,17189719202,https://www.majorowenscenter.com/,,ZIP,56544,24747,85201,40.66874035,-73.95474426,not contacted,1/3/2025 22:05
Ocean Breeze Athletic Complex,"625 Father Capodanno Blvd, Staten Island, NY 10305",NYC,17183517923,http://oceanbreezenyc.org/,,ZIP,41714,15637,86294,40.58458549643174,-74.07223942,not contacted,1/3/2025 22:05
Marlene Meyerson JCC Manhattan,"334 Amsterdam Ave at, W 76th St, New York, NY 10023",NYC,16465054444,https://mmjccm.org/,,ZIP,67468,36881,157866,40.77699125976733,-73.98116124,not contacted,1/3/2025 22:05
Next Level Sports Center,"156 Railroad St, Huntington Station, NY 11746",Long Island,16314188493,https://nextlevelsportscenter.com/,,ZIP,66883,21661,158309,40.8445885,-73.423731,not contacted,1/3/2025 22:05
All Island SportsPlex,"10 Dunton Ave, Deer Park, NY 11729",Long Island,16313924710,http://www.allislandsportsplex.com/,Indoor fields,ZIP,26647,8661,138350,40.76886215,-73.29452805,not contacted,1/3/2025 22:16
Asphalt Green - Upper East Side campus,"555 E 90th St, New York, NY 10128",NYC,12123698890,http://www.asphaltgreen.org/,,ZIP,59000,30154,148705,40.77801692320998,-73.94392602,not contacted,1/3/2025 22:05
Fastbreak Sports,"1629 1st Ave., New York, NY 10028",NYC,12127243278,https://fastbreakkids.com/,,ZIP,45679,24901,168125,40.77606942857143,-73.95009,not contacted,1/3/2025 22:05
Because We Can Sports,"120 Androvette St, Staten Island, NY 10309",NYC,13472120028,https://bwcsports.com/,,ZIP,34918,12108,123638,40.5351618,-74.239854,not contacted,1/3/2025 22:05
Peak Sports Academy,"1235 US-22, Mountainside, NJ 07092",NJ,19082321349,http://www.peaksportsacademynj.com/,Super high-end AAU teams and facilities,ZIP,6967,2540,210100,40.67684302127329,-74.34698376,not contacted,1/3/2025 22:05
Rising Stars Athletic Complex,"63 Babylon Turnpike, Freeport, NY 11520",Long Island,15166365566,https://risingstarsyouthfoundation.com/,,ZIP,44873,14129,119407,40.6651698,-73.5716998,not contacted,1/3/2025 22:05
Branchburg Sports Complex,"47 Readington Rd, Branchburg, NJ 08876",NJ,19082031600,http://www.branchburgsports.com/,Sports and laser tag,ZIP,22902,9547,120823,40.5977632,-74.69293973,not contacted,1/3/2025 22:05
SPORTIME Lynbrook,"175 Merrick Rd, Lynbrook, NY 11563",Long Island,15168871330,https://www.sportimeny.com/lynbrook,Multiple locations and facility rentals,ZIP,22558,7644,138006,40.6590171,-73.66461608,not contacted,1/3/2025 22:05
Kids In Sports Scarsdale,"365 Central Park Ave, Scarsdale, NY 10583",NY,19143589732,https://scarsdaleny.kidsinsports.com/,Kid-centric sports,ZIP,40612,14050,250000,41.0091346,-73.80959948,not contacted,1/3/2025 22:05
House of Sports,"1 Elm St, Ardsley, NY 10502",NY,19144795419,http://houseofsportsny.com/,,ZIP,5875,1879,250000,41.0120128,-73.8498392,not contacted,1/3/2025 22:05
Premier Sports Multi Sport Training Center,"114 Parkway Dr S, Hauppauge, NY 11788",Long Island,16316706355,http://premiersportsny.com/,,ZIP,17092,5581,148946,40.82063174244467,-73.20218127,not contacted,1/3/2025 22:05
The Sports Arena,"620 Middle Country Rd, St James, NY 11780",Long Island,16313619288,http://www.thesportsarena.net/,,ZIP,15586,5576,141576,40.85646235,-73.15734832,not contacted,1/3/2025 22:05
Centercourt Athletic Club of Chatham,"222 N Passaic Ave, Florham Park, NJ 07928",NJ,19736351222,http://www.centercourtacademy.com/,,ZIP,19667,6690,236000,40.75279582964836,-74.36896685,not contacted,1/3/2025 22:05
Long Island Sports Hub,"165 Eileen Way, Syosset, NY 11791",Long Island,15163644000,http://lisportshub.com/,,ZIP,25194,8046,204357,40.8027664,-73.51810781,not contacted,1/3/2025 22:05
LI Sports Edge,"510A Larkfield Rd, East Northport, NY 11731",Long Island,15168740345,http://www.lilathletes.com/,Youth sports classes,ZIP,29891,10717,158819,40.85785948914148,-73.31897534,not contacted,1/3/2025 22:05
North Sport,"469 Fort Salonga Rd, Northport, NY 11768",Long Island,16317572255,http://www.northsportny.com/,"Basketball and pickleball, advertise rentals",ZIP,21908,8213,163435,40.893503,-73.3382055,not contacted,1/3/2025 22:05
Northern Valley Sports Academy (NVSA),"100 Oakland Ave, Closter, NJ 07624",NJ,12017503275,https://www.northernvalleysportsacademy.com/,,ZIP,8544,2632,187500,40.972284,-73.960379,not contacted,1/3/2025 22:05
Shooting Stars Sports,"45 Cherry Valley Ave, West Hempstead, NY 11552",Long Island,16316515000,http://www.shootingstarssportsli.com/,,ZIP,26053,7477,153192,40.70641719354838,-73.65681394,not contacted,1/3/2025 22:05
All Sportz Melville,"100 Ruland Rd, Melville, NY 11747",Long Island,16314147072,https://www.allsportzli.com/,,ZIP,19826,7575,154914,40.763728,-73.414361,not contacted,1/3/2025 22:26
Down Town Sports,"7 Leighton Pl, Mahwah, NJ 07430",NJ,12018511707,https://www.downtownsportsclub.com/,,ZIP,25375,9756,128125,41.02446079,-74.16729442,not contacted,1/3/2025 22:05
A Game Sports,"A Game Sports, 856 Main St, New Rochelle, NY 10801",NY,19142789477,http://www.agamesports.net/,,ZIP,41984,16030,83534,40.916579151904585,-73.78649364,not contacted,1/8/2025 16:41
Open Gyms LLC,"7 Fir Ct, Oakland, NJ 07436",NJ,12012589770,http://opengyms.net/,,ZIP,12676,4388,162763,41.01842231378775,-74.25401994,not contacted,1/3/2025 22:05
The Plex,"800 Embedded Way, San Jose, CA 95138",SF/Bay Are,14082251843,http://www.gotoplex.com/,Massive indoor sports facilities,ZIP,19513,5638,194300,37.26574545,-121.7936193,not contacted,1/3/2025 22:05
The Foundry,"2575 E Bayshore Rd, Redwood City, CA 94063",SF/Bay Are,16505122304,http://www.lemou.org/,,ZIP,34695,11291,115528,37.48765765,-122.1991252,not contacted,1/3/2025 22:05
SportsHouse,"3151 Edison Way, Redwood City, CA 94063",SF/Bay Are,16503624100,http://www.sportshouse.us/,,ZIP,34695,11291,115528,37.47650685,-122.2031525,not contacted,1/3/2025 22:05
Legarza Kids,"1027 Bransten Rd, San Carlos, CA 94070",SF/Bay Are,14153343333,http://www.legarzasports.org/,,ZIP,30696,11331,235373,37.50584755530478,-122.2540149,not contacted,1/3/2025 22:05
Fairfax Sportsplex,"6800 Commercial Dr, Springfield, VA 22151",DMV,17037509521,http://www.fairfaxsportsplex.com/,Indoor soccer and volleyball,ZIP,17376,5478,160187,38.804268536598535,-77.21231154,not contacted,1/3/2025 22:05
TeamABA Training Center,"60 Southlawn Ct, Rockville, MD 20850",DMV,13013637804,http://www.teamaballc.com/,"Mostly basketball, but offer other training",ZIP,50365,21131,122691,39.1042591,-77.13037235,not contacted,1/3/2025 22:05
Bender JCC of Greater Washington,"6125 Montrose Rd, Rockville, MD 20852",DMV,13018810100,http://www.benderjccgw.org/,,ZIP,47857,21640,121496,39.05055576,-77.12024193,not contacted,1/3/2025 22:05
Athletic Republic Capitol Region,"6417 Marlboro Pike, District Heights, MD 20747",DMV,12404340928,http://capitolregion.athleticrepublic.com/,,ZIP,37924,15984,72931,38.85384549957828,-76.89759707,not contacted,1/3/2025 22:05
Capital Sportsplex,"10011 Good Luck Rd, Glenn Dale, MD 20769",DMV,12403469613,http://www.capitalsportsplex.com/,Indoor fields and futsol,ZIP,7061,2255,170117,38.99612403611347,-76.83356289,not contacted,1/3/2025 22:05
Masi Sports Academy,"10325 Kensington Pkwy, Kensington, MD 20895",DMV,14107258228,http://www.masieagles.com/,,ZIP,19042,6944,169527,39.0257473,-77.07146443,not contacted,1/3/2025 22:05
Westlake Athletic & Community Center,"4300 Westbank Dr, West Lake Hills, TX 78746",Austin,(512) 852-8358,https://www.wacctexas.com/,,,,,,30.27821,-97.817274,in discussion,1/3/2025 22:05
